Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50
CHEMBL4469675,,483.53,0,3.31,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C4CCCC4)C3)cc1)C2=O,3.802
CHEMBL4469675,,483.53,0,3.31,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C4CCCC4)C3)cc1)C2=O,3.9
CHEMBL4748390,,405.48,0,2.88,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,3.9
CHEMBL4474593,,493.52,0,3.24,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCN(c4nc5ccccc5[nH]4)CC3)cc1)C2=O,3.981
CHEMBL4474593,,493.52,0,3.24,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCN(c4nc5ccccc5[nH]4)CC3)cc1)C2=O,4
CHEMBL1086580,,312.32,0,3.66,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,4
CHEMBL5095220,AZD-5305,406.49,0,1.56,CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,4
CHEMBL3764816,,380.36,0,2.63,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1,4.1
CHEMBL4100719,,459.48,0,2.74,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(c2ccccc2)C1,4.1
CHEMBL3764816,,380.36,0,2.63,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1,4.169
CHEMBL5182785,,392.48,0,3.18,NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,4.21
CHEMBL5073596,,478.45,0,2.59,C[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC(F)(F)F,4.25
CHEMBL4072243,,451.46,0,1.47,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(C(=O)C2CC2)C1,4.5
CHEMBL4435102,,457.49,0,2.77,CC(C)c1nnc2n1CCN(C(=O)c1ccc(/C=C3\Oc4c(C(N)=O)cccc4C3=O)cc1)C2,4.571
CHEMBL4800042,,423.49,0,2.1,NC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,4.6
CHEMBL4435102,,457.49,0,2.77,CC(C)c1nnc2n1CCN(C(=O)c1ccc(/C=C3\Oc4c(C(N)=O)cccc4C3=O)cc1)C2,4.6
CHEMBL5084388,,554.66,1,4.4,CC[C@@H]1C(=O)N(C)c2cnc(N(C)c3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3OC)nc2N1C1CCCC1,4.7
CHEMBL4446923,,466.5,0,3.56,Cc1ccc2[nH]c(CCNC(=O)c3ccc(/C=C4\Oc5c(C(N)=O)cccc5C4=O)cc3)nc2c1,4.786
CHEMBL5080640,,450.51,0,2.43,C[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC1CC1,4.93
CHEMBL4446923,,466.5,0,3.56,Cc1ccc2[nH]c(CCNC(=O)c3ccc(/C=C4\Oc5c(C(N)=O)cccc5C4=O)cc3)nc2c1,5
CHEMBL4096060,,486.5,0,3.14,O=C(/C=C/c1ccc(CCNC(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)cc1)NO,5.02
CHEMBL5190645,,389.46,0,2.08,CCc1cc2ncc(CN3CCN(c4cnc5cn[nH]c5c4)CC3)cc2[nH]c1=O,5.2
CHEMBL4093008,,473.51,0,2.73,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(Cc2ccccc2)C1,5.4
CHEMBL4522170,,348.41,0,1.25,O=C1NCCn2c(-c3ccc(N4CCNCC4)cc3)nc3cncc1c32,5.5
CHEMBL5170407,,456.53,0,3.37,O=C1NCCc2c(-c3ccc(CN4CCN(c5ncccn5)CC4)cc3)[nH]c3cc(F)cc1c23,5.71
CHEMBL4082728,,474.5,0,2.13,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(Cc2ccncc2)C1,5.8
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,6
CHEMBL4761383,,724.7,2,1.87,NC(=O)c1cccc2cc(C(=O)N3CCN(c4nc(-c5cnc(NC(=O)CN6CCOCC6)cc5C(F)(F)F)nc(N5CCOCC5)n4)CC3)oc12,6.2
CHEMBL5183006,,420.49,0,2.92,CC(=O)N1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,6.4
CHEMBL5174694,,422.5,0,2.37,O=C1NCCc2c(-c3ccc(CN4CCN(CCO)CC4)cc3)[nH]c3cc(F)cc1c23,6.68
CHEMBL5088601,,466.51,0,2.35,CCC(=O)N1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@@H]1CC,6.91
CHEMBL5087953,,438.5,0,2.43,CCCN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,6.98
CHEMBL4787850,,387.49,0,2.74,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cccc4c(=O)[nH]3)CC2)cc1,7.2
CHEMBL4458889,,307.36,0,1.56,CNCc1ccc(-c2nc3cncc4c3n2CCNC4=O)cc1,7.2
CHEMBL5081000,,452.53,0,2.68,CC(C)CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@@H]1C,7.31
CHEMBL5079913,,506.46,1,2.5,CC[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1C(=O)C(F)(F)F,7.31
CHEMBL5080395,,450.51,0,2.6,C/C=C/CN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,7.4
CHEMBL5083291,,450.51,0,2.43,C[C@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC1CC1,7.41
CHEMBL5089572,,464.54,0,2.99,CC(C)=CCN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,7.56
CHEMBL4435879,,327.43,0,2.01,CC(C)CN1CCC(c2nc3cncc4c3n2CCNC4=O)CC1,7.7
CHEMBL5075095,,478.52,0,2.35,CC[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1C(=O)C1CC1,7.96
CHEMBL481603,,274.28,0,2.27,N#Cc1ccc(-c2cnc3cccc(C(N)=O)c3n2)cc1,8
CHEMBL5193574,,492.6,0,4.75,CC(C)(C)OC(=O)NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,8.04
CHEMBL4776820,,397.48,0,3.16,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)cc1,8.1
CHEMBL4092324,,483.5,0,2.47,CC(C)(C)OC(=O)N1CC[C@H](C(=O)Nc2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)cnc2F)C1,8.6
CHEMBL5193674,,418.5,0,1.56,CCc1cc2ncc(CN3CC4(C3)CN(c3ccc(C(=O)NC)nc3)C4)cc2[nH]c1=O,9
CHEMBL4082114,,498.97,0,3.59,CC(C)(C)OC(=O)N1CC[C@H](C(=O)Nc2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2Cl)C1,9.1
CHEMBL4781887,,398.46,0,3.14,Nc1cc(F)cc2c(=O)[nH]c(CCCN3CCN(c4ccc(F)cc4)CC3)cc12,9.5
CHEMBL4460350,,321.38,0,1.95,CCNCc1ccc(-c2nc3cncc4c3n2CCNC4=O)cc1,9.9
